"EN_source"	"ZGH_target"
"brushes (for wool)"	"imšţn"
"bubble (noun)"	"tabuwlt; tibiwlt"
"bubbles"	"tibiwlin"
"bucket"	"ataš; aţaz; attas; lkob; sstl"
"bucket, measuring (metal)"	"lعbrt"
"bucket, well"	"aga"
"buckets"	"attasn"
"bugs"	"ibxušn"
"building"	"lbni"
"bulb, meshy, for buta lamp"	"taftilt"
"bull"	"aعjliy; igiz; iyiz"
"bullets"	"rşaş"
"bulls"	"izyarn"
"bundle (n)"	"taymust"
"bureau"	"lmktab"
"burn (n)"	"uġus"
"burns, as a medical cure (n)"	"tiqad"
"burp (n)"	"agorryH; agrriع"
"bus station"	"lmaHţţa n lkiran"
"buses"	"lkiran"
"business card"	"lakarţ vizit"
"but"	"walayni; walini"
"butcher"	"agzzar"
"butter"	"zbda"
"butter, from the cow"	"udi"
"butterfly"	"ibrbilu"
"buttermilk"	"aġu"
"buttocks"	"aşud; axna"
"button"	"abra"
"buttons"	"ibratn"
"by foot"	"s udar"
"by means of"	"s"
"by necessity"	"s irġnan"
"by themselves"	"iġf nsn; iwadu nsn"
"by what"	"mas"
"by yourself"	"xs km/ky"
"cactus"	"aqanaray; tazart n irummin"
"cakes"	"lgatu"
"calandar"	"Lyawmiya"
"calf (cow)"	"Taعjliyt"
"calf (female)"	"Tigizt"
"call to prayer"	"l'adan"
"call to prayer, 1st (sunrise)"	"l-fjr"
"call to prayer, 2nd (noon)"	"tizwarnin; dduhr**"
"call to prayer, 3rd (afternoon)"	"Lعaşr"
"call to prayer, 4th (sunset)"	"lmuġrb; tin wutši"
"call to prayer, 5th"	"lعša; tin yits"
"callous (n)"	"Tilfxt"
"callouses (n)"	"Tilfax"
"camel"	"alġm; alġum"
"camels"	"Ilġuman"
"camping (n)"	"Lmoqhiam"
"can (metal)"	"lHuk"
"candle"	"ššm;ع tašmعt"
"candles"	"Šmع"
"candy"	"lfanid; lHlwa"
"cane, walking"	"taġruyt"
"canon"	"lmdfع"
"cape"	"aznnar"
"cape, black, emrboidered (for women)"	"taHruyt"
"capers"	"taylluş"
"capital (n)"	"lعaşima"
"cards, playing"	"lkarta"
"careful!"	"rar lbal"
"carpenter"	"anjjar"
"carpet"	"tazarbit; tikdift; tišdift"
"carpet, made from palm fronds"	"agrtil n tfruxt"
"carpet, woven plastic"	"agrtil; ajrtil"
"carrot"	"xizu"
"carte de sejour"	"lakart du sejour"
"Casablanca"	"darbida"
"cat"	"muš"
"cataract"	"itran n ţit"
"cauliflower"	"šiflur; šifron"
"cave"	"ifri"
"caves"	"ifran"
"cedar"	"larz"
"ceiling*"	"sqf"
"cement"	"sima"
"cemetary"	"lqbur; tamdint"
"census"	"liHşa"
"centipede"	"dad nuašal"
"ceremony, baby naming"	"sibع"
"chaff"	"nHala"
"chain (n)"	"snslt"
"chair"	"lkursi"
"chalk"	"tabašir; ttabaşir"
"chameleon"	"mHbawš"
"charcoal"	"lfaxr; tirgin"
"charcoal heater (rectangular)"	"lmariu"
"charcoal stove (round)"	"lcanun"
"charity"	"şdaqa"
"chart"	"ljdwal"
"cheek"	"anbuj; anjay; andur"
"cheeks"	"injayn"
"cheetah"	"aġilas"
"cherry"	"habmluk"
"chest"	"admr"
"chest (for people)"	"idmarn"
"chick"	"ašišaw"
"chick peas"	"lHimz"
"chicken"	"afulus; tafulust; yiazird"
"chickens"	"ifulusn"
"chicks"	"išišawn"
"chief"	"amġar"
"child, illegitimate"	"išnti"
"children"	"ifrgasn; lqum; luwašun; iširan; taruwa; drari**"
"childs penis"	"tawjimt"
"chimney"	"šumini"
"chin"	"tamart; timġt"
"chipped rim"	"agrmaš"
"chocolate"	"šklat"
"Christian"	"l-masiHi"
"Christianity"	"l-masiHiya"
"Christians"	"l-masiHyin"
"church"	"lkanisa"
"churn, made from animal skin(n)"	"tijwit"
"cigarettes"	"lgarru"
"cilantro"	"lqzbur"
"cinder block"	"lbrik"
"cinnamon"	"lqrfa"
"circle"	"tabrrrayt"
"circumcision"	"lislam; tzyyin; lxtana; tHara"
"cirlce"	"tamduart"
"cistern"	"šarij; tafnna; tanutfi"
"cities, the big ones in north and west (i.e. Fez, Rabat,Marakesh,etc.)"	"azaġar"
"citizen"	"lmuwaţin"
"city"	"lmdint; tamdint"
"claws"	"axbarn"
"cliff"	"ajdir; akšmir"
"climate*"	"lmunax"
"close to"	"tama n"
"clothes"	"iHruyn; lHwayj"
"clothespins"	"lmqabţ; lqrrasat**"
"cloud"	"asignu; isignu"
"clouds"	"isignaw; tsigniu"
"cloves"	"lqrunfl"
"coals"	"lfaxr; tirgin"
"coat"	"lkabut; lkbbuţ"
"cobwebs"	"asţa n tbaxa"
"cocaine"	"lkukayyin"
"cockroaches"	"zqlil; srraq zzit**"
"coelostrum, cow"	"adġs"
"coffee grounds"	"aHbubn n lqhwa"
"coffee pot"	"lbriq"
"coins"	"ş-şrf"
"cold (n)"	"aqrf; asmid"
"colic"	"azbar"
"color (n)"	"llun"
"colors"	"lluan"
"colors, mixture of many"	"zuaq"
"comb (for loom)"	"taska"
"comb (n)"	"amšat"
"come here!"	"addud"
"comedian"	"baqšiš"
"common hare"	"tawtult"
"Commune"	"ljamaعa"
"community group"	"taqbilt"
"company"	"šarika"
"competition"	"lmunafasa"
"computer"	"lurdinatur"
"conditioner (hair)"	"ssišwar"
"conditions"	"ďďuruf"
"condolences"	"tعziyt"
"condom"	"kaput; mika; prisirvatif"
"cone"	"lqilb"
"confrontation"	"amqibal"
"congratulations"	"mbruk"
"consensus"	"tifaq"
"constitution"	"d-dustur"
"construction"	"lbani"
"contains"	"diks"
"continent"	"lqarra"
"conversation"	"lmunakaša"
"convince"	"qnع"
"cook (person)"	"takuzinit"
"cooked"	"inwan"
"cooked (adj)"	"inwa"
"cookie cutter"	"lkalb n lHlwa"
"cookies"	"lbiskwi; lgatu"
"cooking (n)"	"tinwi"
"cooking pot"	"ţawa"
"cooperation"	"tamunt"
"co-operative*"	"ttعawuniya"
"copper"	"nnHas"
"cord (electricity)"	"lxiţ n ďďo"
"corn"	"asngar; dra; qillu; qrilloh"
"corn stalks"	"aġddu"
"corn, ear"	"tiqillut"
"corner"	"tiġmrt"
"corpse"	"amttin; ljutta"
"corruption*"	"lfasad"
"cost"	"atig"
"cost of transportation"	"lmarkub"
"cotton"	"lqaţn"
"cough (n)"	"takuHut; tusut"
"counter"	"lkuntwar"
"country"	"tamazirt; ddula**"
"court"	"lmHkama"
"courthouse"	"lmHkama"
"courtyard"	"arHabi"
"couscous"	"sksu; ţţعam"
"couscous pot"	"lbrma"
"couscous with cinnamon"	"ssfa"
"couscous, corn"	"butl"
"couscouserie"	"tarukut"
"couscouserie, top"	"taggrat"
"cousin, F on fathers side"	"illis n عmmi/عtti"
"cousin, F on mothers side"	"illis n xalti/xali"
"cousin, M on fathers side"	"yiws n عmmi/عtti"
"cousin, M on mothers side"	"yiws n xali/xalti"
"covers, for sleeping"	"aġamus"
"covet (n)"	"ţţmع"
"cow"	"tafunast"
"cow pen"	"lkuri"
"cows"	"izyarn; tifunasin"
"crack (n)"	"ifxsi"
"craftsperson"	"lmعllm"
"cramps"	"azbar"
"crate"	"lkorba; ssnduq"
"crazy"	"aHyut; taHyut"
"crazy person"	"amعdur; tamعdurt"
"cricket"	"igdu; zrri"
"crime*"	"ljarima"
"crochet"	"lkruši"
"crops"	"anbdu; lġllat"
"crutch"	"taġruyt"
"cucumber"	"lxyar"
"culture"	"t-taqafa"
"cumin"	"ţakamimt; lkamun**"
"cup"	"aġuraf; aġurf"
"cupboard"	"lmariu"
"cups"	"iġrafn"
"curb"	"triţwar"
"curry (n)"	"lkurnb"
"curse, magical"	"taymust"
"curtains"	"lxamya; rridu"
"curve"	"lvirage"
"curves"	"lvirajat"
"cut (n)"	"ubui"
"dance (traditional)"	"aHaydus; aHwaš"
"dandruff"	"lqšra"
"danger (n)"	"l-xatar"
"dark (n)"	"tillas"
"darkness"	"tabxni"
"date (of month)"	"ttarix"
"dates (fruit)"	"tiyni; tibعušin"
"daughter"	"tarbat"
"daughter, mine"	"illi"
"daughter-in-law"	"tislit"
"dawn"	"lfjr"
"day"	"as"
"day after tomorrow"	"nafuska; nif uska; nik waska"
"day before yesterday"	"asaan; aslid; aslid asnat"
"December"	"dujanbir; šar tnaš"
"defense (soccer)"	"ddifع"
"definitely"	"isHa; tsHa; miya f lmiya"
"delicious"	"yaţfut; taţfut"
"democracy"	"ddimuqratia"
"desert"	"sHra"
"design, colorful"	"rršm"
"developing nations"	"dduwal nnamiya"
"development"	"tanmia"
"devil"	"š-šitan; ljjn"
"devilish"	"itušiar"
"devils"	"ljjnun"
"diarrhea"	"abrruţ; aşrriţ; yuzl uxdil; tadist"
"dice*"	"nnird"
"dictionary"	"dictionaire; l-munjid"
"difference*"	"lfrq"
"difficulty"	"šqayt"
"dignity"	"tamxmxt"
"dinner"	"imnsi"
"direction"	"mani"
"director"	"lmudir"
"dirt (on ground)"	"akal; ašal"
"dirt (on person)"	"iršan; lusx"
"dirty (adj)"	"iwssx; ijlx"
"dirty water"	"iršan"
"disabled (adj)"	"akušam; lmuعaq"
"dishes"	"irukutn"
"ditch, irrigation"	"targwa"
"ditch, irrigation, division"	"aġlan"
"ditches, irrigation"	"tirgwin"
"divided by (math)"	"maqsuma عla"
"divided slaughtered animal"	"luziعt"
"division (math)"	"maqsuma"
"divorce (n)"	"arzum; zddu"
"divorced"	"nurzmn"
"dizziness"	"tmlilay"
"djellaba"	"tajallabit"
"do (question word before noun)"	"id-"
"do (question word before verb)"	"is-"
"do not (command)"	"adur-"
"doctor"	"aţbib/taţbibt; adbib/tadbibt;"
"dog"	"igdi; ijdi; iyidi; idi"
"domain*"	"lmajal"
"donkey"	"aġyul"
"donkeys"	"iġyal"
"don't touch me"	"ad uri tggrt"
"door"	"tflut; tiflut; lbab"
"doorstep"	"lعtbt"
"dorm"	"lxiria"
"double boiler"	"tarukut"
"doubt"	"ššk"
"dough"	"arktu; arštu"
"doughnut"	"sfnj"
"down"	"izdar"
"downstairs"	"izdar"
"drain (in shower or floor) (n)"	"l-qrqara"
"drain pipe (on roof)"	"tafrawt"
"drawer"	"lmjrr"
"drawing of water"	"igm"
"dream (n)"	"tawargit"
"dress (n)"	"lqsua; aqaydur; tawjdanit"
"dress shirt"	"lqamija"
"dresser"	"lmaryu"
"drink (n)"	"tmswit"
"drinking (n)"	"tissi"
"drinks"	"l-mašrubat; tissi"
"driver"	"šifur"
"drop (of liquid)"	"timqqit"
"drops (of liquid)"	"timqqa"
"drought"	"ljafaf; taġart"
"drugs"	"lmuxddirat"
"drugs, intravenous"	"tsmiyawin n lmuxddirat"
"drum (large one) (n)"	"ddndum"
"drum (n)"	"agnza; allun; tallunt; ijdm"
"dung (cow)"	"tarfa"
"dung (donkey, mule, horse)"	"imzran"
"dust"	"amruġd"
"dust devil"	"tamzawit"
"dynamite"	"lminat"
"eagle"	"lbaz"
"ear"	"amzuġ"
"early"	"anzay; zik"
"early (dawn)"	"tifawt"
"early, to do something"	"Huru"
"earring"	"taxurst"
"earrings"	"tiwinas; tixursin"
"ears"	"imzgan; imzġan; imzian"
"earth"	"akal"
"Earth, planet"	"ddunit; lعalam"
"earthquake"	"zlzal"
"East (n)"	"lqblt; ššrq"
"easy"	"iuhan; tuhan"
"education"	"tiġri"
"egg"	"taglayt"
"egg yolk"	"tiwrġi n tiglay"
"eggplant"	"dnjal"
"eggs"	"tiglay"
"either"	"ima"
"elbow"	"tiġmrin; tiġmrt"
"election*"	"lintixab"
"electric cord"	"lxiţ n usid"
"electric outlet"	"lpriz"
"electricity"	"asid"
"electricity"	"ďďo"
"elephant"	"lfil"
"embroidery"	"ţţrz"
"end (of events)"	"tiyira"
"enemies"	"iعdawan"
"enemy"	"aعdaw"
"energy*"	"lquwa"
"enough"	"baraka; iwda; safi; yuda"
"ensemble (clothes)"	"ssunbl"
"enterprise"	"lmuqawala"
"entrails"	"tadwart"
"entryway"	"lعlu"
"envelope"	"jwa"
"environment"	"lbi'a"
"epilepsy"	"aquryan"
"equals"	"yusawi"
"equipment"	"irikutn"
"eraser"	"lmimsaHa"
"erosion*"	"taعriya"
"Europe"	"uropa"
"even (adv)"	"awd"
"every"	"ku; matta"
"ewe"	"tili; ţixsi; txsi"
"exactly"	"nišan"
"exam"	"limtiHan"
"except"	"ġir; maعada"
"excursion"	"rriHla"
"excuse me"	"samHi"
"excuses (n)"	"tişaعdar"
"execution"	"liعdam; tazlakt"
"exercise (n)"	"riada"
"exercise* (n)"	"tmrin"
"experience (n)"	"tjriba"
"expression (facial)"	"tifiras n uqmu"
"expression (literary)"	"iwaliwn"
"extremist"	"mutatarif"
"eye"	"ţiţ"
"eye, white of"	"timli n ţiţ"
"eyebrows"	"timiwa; timuwa"
"eyeglasses"	"lmdadr; lmdrat; nďaďr"
"eyelashes"	"argaln; arjaln; aryaln; ašbabn"
"eyes"	"aln"
"fabric scraps"	"iHarqan"
"fabric*"	"ttub"
"face (n)"	"aqmu; udm"
"factory"	"luzin"
"faith"	"lnit"
"faithfully"	"snit"
"faithfulness (sexual)"	"lixlaş"
"fake"	"izwwr"
"falcon"	"lbaz"
"fall (season)"	"lxrif"
"family"	"lعaila; taxamt; ait uxam"
"family of..."	"ayt"
"famine"	"taglft; jju**ع"
"fan (n)"	"lfrfara; tarrwaHt"
"fan (of something) (n)"	"mušjjiع"
"farm"	"lfirma"
"farmer"	"afllaH"
"fart (n)"	"urth"
"fart (silent) (n)"	"akuffi; urd"
"fart (with noise) (n)"	"akuzzi"
"farts (silent) (n)"	"urdan"
"fast (adj)"	"fimara; fisaع"
"fat (animal) (n)"	"tadunt"
"fat (n)"	"lidam"
"father"	"baba; bba"
"fatigue (n)"	"tabxlit"
"faucet"	"lbzbuz; robini"
"faucet (public)"	"bumba"
"favorite (adj)"	"daytعjib"
"fear (n)"	"tawda; lxuf**"
"feather"	"rriš"
"February"	"fbrayr; šhr juj"
"feelings"	"lxadr; ššuعur**"
"feet"	"idarn"
"fence"	"lHdd; tigitt"
"fever"	"tamġart; tawla; sxana"
"few (adj)"	"idrus"
"few (n)"	"imik"
"fiance"	"tislit"
"fiancee"	"lxatiba"
"fibula"	"tisruns"
"field"	"igr; ijr"
"field, playing"	"ttiran"
"fields"	"ijran"
"fig"	"tazart"
"fig liquor"	"maHya"
"fight (n)"	"iniġi"
"figs"	"ibuzikn"
"figs, black"	"abrdil"
"figs, early"	"ikurran; iquran"
"file folder"	"lmilf"
"file, metal"	"tilima"
"filter"	"tasfayt"
"fine (monetary)"	"lxdit; lxtiyt; lġarama**"
"finger"	"aďaď"
"finger, middle"	"raHu"
"finger, pinky"	"talilat"
"finger, thumb"	"ikmz"
"finger, thumb"	"išmz"
"fingernail"	"askar; asyar"
"fingernails"	"askarn"
"fingers"	"iďuďan"
"fire (n)"	"afa; lعfit"
"fire stand, iron"	"iniyn n wafa"
"fireplace"	"almssi"
"firestarter"	"rabus"
"firm"	"lfirma"
"first (adj)"	"amzwaru; amzgwaru"
"first (adv)"	"zwar"
"fish"	"asslm"
"fish (pl)"	"isliman; islman"
"fist"	"lbunia"
"five minutes"	"qşm"
"flag"	"lعlam; rraya"
"flashlight"	"lpil"
"flat portable surface used for flattening bread"	"aglim"
"flatterer"	"asHHar"
"flatterers"	"isHHarn"
"flea"	"agurdu; awurdu"
"fleas"	"igurdan; iwurdan"
"flesh"	"tifiyi"
"flies"	"izan"
"flip flops (plastic, for bathroom)"	"mššaya"
"flirting"	"aqşr"
"flood (n)"	"anji"
"floor"	"akal; ašal"
"floor (cement)"	"ďďşş"
"flour"	"aggurn; awurn; awwrn; farina; imndi"
"flour, course"	"ibrin"
"flour, white"	"lfurs"
"flower"	"ajddig; ajdig; aljig"
"flowers"	"ijdign; iljign"
"flute"	"tašعbut; tibinzit"
"fly"	"izi"
"foal"	"asnus"
"fog"	"amdlu; ďbaba**"
"folder"	"lmilf"
"food"	"lmakla"
"food (lunch)"	"imkli"
"food (meal)"	"tirmt"
"foot"	"adar; afdahil; atar"
"foot, ball of"	"awurz"
"footprints"	"aعşr"
"for"	"i"
"for example"	"matalan; tamatrt; lmital**"
"forbidden"	"mamnuع"
"forcefully"	"s ddrع"
"forearm"	"iġil"
"forearms"	"iġaln"
"forehead"	"ayrni; ayri"
"foreigner"	"abrrani; arummi; imzzi"
"foreigners"	"imzzan; irummin"
"forest"	"lġabt"
"fork"	"furšita"
"fork (for wool)"	"isikan; istkan"
"form (for mud construction)"	"ttabut"
"form (paper)"	"tawirqt"
"fox"	"aعlbun; baġu; baġuġ; barġn; išعab"
"foxes"	"iعlban"
"free (n)"	"fabur"
"freedom"	"lHurriya*; tilili"
"french fries"	"lfrit"
"Friday"	"ljumuعa"
"friend"	"amdakl/tamdaklt; asmun/tasmunt"
"frog"	"agru; jranna**"
"frogs"	"igrawn; igura; jran**"
"from"	"sg; zi"
"front (of location)"	"dat (n)"
"fruit"	"lfakit; lfašit"
"fruit (after meal)"	"ddisir"
"frying pan"	"lmqla; tafant"
"fuck off"	"sir tquwd"
"full time workers"	"lambuš"
"fun"	"ilihan; nnašat; ršaqt"
"funnel"	"inifif"
"future"	"lguddam; lmustqbal**"
"gall bladder*"	"lmrrara"
"game like chess"	"ďama"
"garden"	"jjrda; tabHirt"
"gardener"	"ajardini"
"garlic"	"tiskrt; tuma**"
"garlic press"	"assara tuma"
"gasket"	"jlda"
